,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
380,2018-0106,1,2018-10-04,2018,10,4,22:02:00,22,"Figueroa Alcorta, Pres. Av. y Echeverria",AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",ECHEVERRIA,"FIGUEROA ALCORTA, PRES. AV. y ECHEVERRIA",13,MOTO-MOTO,MOTO,MOTO
381,2018-0107,1,2018-10-06,2018,10,6,14:20:00,14,Rivadavia Av. y Jujuy Av.,AVENIDA,RIVADAVIA AV.,JUJUY AV.,RIVADAVIA AV. y JUJUY AV.,3,PEATON-PASAJEROS,PEATON,PASAJEROS
382,2018-0108,1,2018-10-09,2018,10,9,14:00:00,14,"De Los Italianos Av. y Guemes, Macacha",AVENIDA,DE LOS ITALIANOS AV.,"GUEMES, MACACHA","DE LOS ITALIANOS AV. y GUEMES, MACACHA",1,MOTO-AUTO,MOTO,AUTO
383,2018-0109,1,2018-10-10,2018,10,10,22:12:00,22,"Tucuman y Alem, Leandro N. Av.",AVENIDA,TUCUMAN,"ALEM, LEANDRO N. AV.","TUCUMAN y ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS
384,2018-0110,1,2018-10-13,2018,10,13,03:05:00,3,"Corrientes Av. y Gallardo, Angel Av.",AVENIDA,CORRIENTES AV.,"GALLARDO, ANGEL AV.","CORRIENTES AV. y GALLARDO, ANGEL AV.",15,PEATON-MOTO,PEATON,MOTO
385,2018-0111,1,2018-10-19,2018,10,19,12:13:00,12,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,AUTOPISTA,AUTOPISTA PERITO MORENO,Sin Cruce,"AUTOPISTA PERITO MORENO & PERON, EVA  AV.",9,MOTO-CARGAS,MOTO,CARGAS
386,2018-0112,1,2018-10-24,2018,10,24,09:18:00,9,Muñecas y Serrano,CALLE,MU?ECAS,SERRANO,MUÃ‘ECAS y SERRANO,15,MOTO-CARGAS,MOTO,CARGAS
387,2018-0113,1,2018-10-25,2018,10,25,11:00:00,11,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",TRES ARROYOS,"ARTIGAS, JOSE GERVASIO, GRAL. y TRES ARROYOS",11,MOTO-CARGAS,MOTO,CARGAS
388,2018-0114,1,2018-10-30,2018,10,30,02:15:00,2,Solis e Independencia Av.,AVENIDA,SOLIS,INDEPENDENCIA AV.,SOLIS e INDEPENDENCIA AV.,1,MOTO-AUTO,MOTO,AUTO
389,2018-0115,1,2018-10-31,2018,10,31,12:30:00,12,"Bosch, Ventura y Paz, Gral. Av.",CALLE,"BOSCH, VENTURA","PAZ, GRAL. AV.","BOSCH, VENTURA y PAZ, GRAL. AV.",9,PEATON-PASAJEROS,PEATON,PASAJEROS
390,2018-0116,1,2018-11-01,2018,11,1,10:50:00,10,"Paz, Gral. Av. 14800",GRAL PAZ,"PAZ, GRAL. AV.",Sin Cruce,"PAZ, GRAL. AV. 14800",8,PEATON-CARGAS,PEATON,CARGAS
391,2018-0117,1,2018-11-04,2018,11,4,08:15:00,8,Av. Eva Perón 5321,AVENIDA,"PERON, EVA AV.",Sin Cruce,"PERON, EVA AV. 5321",9,MOTO-MOTO,MOTO,MOTO
392,2018-0118,1,2018-11-05,2018,11,5,14:49:00,14,"Peron, Juan Domingo, Tte. General y Pueyrredon Av.",AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",PUEYRREDON AV.,"PERON, JUAN DOMINGO, TTE. GENERAL y PUEYRREDON AV.",3,PEATON-MOTO,PEATON,MOTO
393,2018-0119,1,2018-11-05,2018,11,5,22:35:00,22,Rabanal y San Pedrito,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAN PEDRITO,"RABANAL, FRANCISCO, INTENDENTE AV. y SAN PEDRITO",8,PEATON-SD,PEATON,SD
394,2018-0120,1,2018-11-09,2018,11,9,13:34:00,13,Monroe y Alvarez Thomas Av.,AVENIDA,MONROE,ALVAREZ THOMAS AV.,MONROE y ALVAREZ THOMAS AV.,12,PEATON-AUTO,PEATON,AUTO
395,2018-0121,1,2018-11-09,2018,11,9,16:32:00,16,Rivadavia Av. y Manzoni,AVENIDA,RIVADAVIA AV.,MANZONI,RIVADAVIA AV. y MANZONI,10,PEATON-PASAJEROS,PEATON,PASAJEROS
396,2018-0122,1,2018-11-12,2018,11,12,01:00:00,1,AU Dellepiane Luis Tte. Gral. y Larrazabal,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,LARRAZABAL,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL,8,AUTO-AUTO,AUTO,AUTO
397,2018-0123,1,2018-11-12,2018,11,12,03:32:00,3,"Paz, Gral. Av. y Peron, Eva Av.",GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.","PAZ, GRAL. AV. y PERON, EVA AV.",9,AUTO-SD,AUTO,SD
398,2018-0124,1,2018-11-15,2018,11,15,19:40:00,19,AU Perito Moreno y Reservistas Argentinos,AUTOPISTA,AUTOPISTA PERITO MORENO,Sin Cruce,AUTOPISTA PERITO MORENO y RESERVISTAS ARGENTINOS,9,CARGAS-CARGAS,CARGAS,CARGAS
399,2018-0125,1,2018-11-16,2018,11,16,21:12:00,21,Saenz Av. y Ventana,AVENIDA,SAENZ AV.,VENTANA,SAENZ AV. y VENTANA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
400,2018-0126,1,2018-11-18,2018,11,18,12:11:00,12,Avda. General Paz y Cnel. Ramón Falcón,GRAL PAZ,"PAZ, GRAL. AV.","FALCON, RAMON L.,CNEL.","PAZ, GRAL. AV. y FALCON, RAMON L.,CNEL.",9,MOTO-AUTO,MOTO,AUTO
401,2018-0127,1,2018-11-19,2018,11,19,09:14:00,9,Av. Gral. Paz y Av. de los Constituyentes,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CONSTITUYENTES AV.,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",12,MOTO-MOTO,MOTO,MOTO
402,2018-0128,2,2018-11-25,2018,11,25,04:30:00,4,"Paz, Gral. Av. 11200",GRAL PAZ,"PAZ, GRAL. AV.",Sin Cruce,"PAZ, GRAL. AV. 11200",9,AUTO-PASAJEROS,AUTO,PASAJEROS
403,2018-0129,1,2018-11-28,2018,11,28,04:01:00,4,"Newbery, Jorge Av. y Guevara",AVENIDA,"NEWBERY, JORGE AV.",GUEVARA,"NEWBERY, JORGE AV. y GUEVARA",15,MOTO-PASAJEROS,MOTO,PASAJEROS
404,2018-0130,1,2018-12-03,2018,12,3,03:00:00,3,Gaona Av. y Segurola Av.,AVENIDA,GAONA AV.,SEGUROLA AV.,GAONA AV. y SEGUROLA AV.,10,MOTO-PASAJEROS,MOTO,PASAJEROS
405,2018-0131,1,2018-12-07,2018,12,7,19:10:00,19,"Madero, Eduardo Av. 550",AVENIDA,"MADERO, EDUARDO AV.",Sin Cruce,"MADERO, EDUARDO AV. 550",1,MOTO-CARGAS,MOTO,CARGAS
406,2018-0132,1,2018-12-12,2018,12,12,08:26:00,8,"AU Arturo Illia y Castillo, Ramon S.",AUTOPISTA,AUTOPISTA ARTURO ILLIA,"CASTILLO, RAMON S., PRES. AV.","AUTOPISTA ARTURO ILLIA y CASTILLO, RAMON S., PRES. AV.",2,PEATON-CARGAS,PEATON,CARGAS
407,2018-0133,1,2018-12-12,2018,12,12,14:07:00,14,Nazca Av. y Rivadavia Av.,AVENIDA,NAZCA AV.,RIVADAVIA AV.,NAZCA AV. y RIVADAVIA AV.,7,PEATON-CARGAS,PEATON,CARGAS
408,2018-0134,1,2018-12-12,2018,12,12,21:00:00,21,La Plata Av. y Caseros Av.,AVENIDA,LA PLATA AV.,CASEROS AV.,LA PLATA AV. y CASEROS AV.,7,PEATON-MOTO,PEATON,MOTO
409,2018-0135,1,2018-12-18,2018,12,18,14:40:00,14,Belgrano Av. y Peru,AVENIDA,BELGRANO AV.,PERU,BELGRANO AV. y PERU,1,PEATON-PASAJEROS,PEATON,PASAJEROS
410,2018-0136,1,2018-12-18,2018,12,18,15:42:00,15,Rivadavia Av. 7013,AVENIDA,RIVADAVIA AV.,Sin Cruce,RIVADAVIA AV. 7013,7,PEATON-PASAJEROS,PEATON,PASAJEROS
411,2018-0137,1,2018-12-18,2018,12,18,20:15:00,20,Adolfo Alsina y Santiago del Estero,CALLE,"ALSINA, ADOLFO",SANTIAGO DEL ESTERO,"ALSINA, ADOLFO y SANTIAGO DEL ESTERO",1,MOTO-PASAJEROS,MOTO,PASAJEROS
412,2018-0138,1,2018-12-21,2018,12,21,09:30:00,9,Bermudez 1893,CALLE,BERMUDEZ,Sin Cruce,BERMUDEZ 1893,10,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
413,2018-0139,1,2018-12-22,2018,12,22,06:30:00,6,Santander 1974,CALLE,SANTANDER,Sin Cruce,SANTANDER 1974,7,MOTO-MOTO,MOTO,MOTO
414,2018-0140,1,2018-12-22,2018,12,22,08:05:00,8,Julieta Lanteri 1400,CALLE,LANTERI JULIETA,Sin Cruce,LANTERI JULIETA 1400,1,AUTO-AUTO,AUTO,AUTO
415,2018-0141,1,2018-12-22,2018,12,22,17:40:00,17,Maza y Av. Independencia,AVENIDA,MAZA,INDEPENDENCIA AV.,MAZA e INDEPENDENCIA AV.,5,PEATON-MOTO,PEATON,MOTO
416,2018-0142,1,2018-12-25,2018,12,25,13:30:00,13,"PAZ, GRAL. AV. 5172",GRAL PAZ,"PAZ, GRAL. AV.",Sin Cruce,"PAZ, GRAL. AV. 5172",12,CARGAS-PASAJEROS,CARGAS,PASAJEROS
417,2018-0143,1,2018-12-29,2018,12,29,05:25:00,5,"Olivera Av. y Alberdi, Juan Bautista Av.",AVENIDA,OLIVERA AV.,"ALBERDI, JUAN BAUTISTA AV.","OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",10,MOTO-AUTO,MOTO,AUTO
418,2019-0001,1,2019-01-08,2019,1,8,08:30:00,8,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,"CASTILLO, RAMON S., PRES. AV.",CALLE 12 (NO OFICIAL),"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,MOTO-CARGAS,MOTO,CARGAS
419,2019-0002,1,2019-01-09,2019,1,9,04:00:00,4,"CASTAÑARES AV. Y MORENO, PERITO AV.",AVENIDA,CASTA?ARES AV.,"MORENO, PERITO AV.","CASTAÃ‘ARES AV. y MORENO, PERITO AV.",7,AUTO-CARGAS,AUTO,CARGAS
420,2019-0003,1,2019-01-12,2019,1,12,08:00:00,8,SAN MARTIN AV. Y TERRADA,AVENIDA,SAN MARTIN AV.,TERRADA,SAN MARTIN AV. y TERRADA,15,MOTO-AUTO,MOTO,AUTO
421,2019-0004,1,2019-01-14,2019,1,14,19:58:00,19,"PERON, EVA AV. Y MEDINA",AVENIDA,"PERON, EVA AV.",MEDINA,"PERON, EVA AV. y MEDINA",9,AUTO-PASAJEROS,AUTO,PASAJEROS
422,2019-0005,1,2019-01-19,2019,1,19,12:00:00,12,"JUSTO, JUAN B. AV. Y ALVAREZ JONTE AV.",AVENIDA,"JUSTO, JUAN B. AV.",ALVAREZ JONTE AV.,"JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",10,MOTO-CARGAS,MOTO,CARGAS
423,2019-0006,1,2019-01-23,2019,1,23,05:45:00,5,"OBLIGADO RAFAEL, AV. COSTANERA 4650",AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA",Sin Cruce,"OBLIGADO RAFAEL, AV.COSTANERA 4650",14,PEATON-AUTO,PEATON,AUTO
424,2019-0007,1,2019-01-26,2019,1,26,19:34:00,19,"MITRE, BARTOLOME Y YATAY",CALLE,"MITRE, BARTOLOME",YATAY,"MITRE, BARTOLOME y YATAY",5,MOTO-AUTO,MOTO,AUTO
425,2019-0008,1,2019-01-30,2019,1,30,22:45:00,22,"PAZ, GRAL. AV. 16080",GRAL PAZ,"PAZ, GRAL. AV.",Sin Cruce,"PAZ, GRAL. AV. 16080",8,MULTIPLE,MOTO,MULTIPLE
426,2019-0009,1,2019-01-31,2019,1,31,14:55:00,14,CHACABUCO Y SAN JUAN AV.,AVENIDA,CHACABUCO,SAN JUAN AV.,CHACABUCO y SAN JUAN AV.,1,MOTO-AUTO,MOTO,AUTO
427,2019-0010,2,2019-02-02,2019,2,2,07:50:00,7,DEL LIBERTADOR AV. 4100,AVENIDA,DEL LIBERTADOR AV.,Sin Cruce,DEL LIBERTADOR AV. 4100,14,PEATON-AUTO,PEATON,AUTO
428,2019-0011,1,2019-02-10,2019,2,10,01:00:00,1,"PAZ, GRAL. AV. Y ALBERDI, JUAN BAUTISTA AV.",GRAL PAZ,"PAZ, GRAL. AV.","ALBERDI, JUAN BAUTISTA AV.","PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",9,PEATON-AUTO,PEATON,AUTO
429,2019-0012,1,2019-02-17,2019,2,17,03:16:00,3,"CASTAÑARES AV. Y GORDILLO, TIMOTEO",AVENIDA,CASTA?ARES AV.,"GORDILLO, TIMOTEO","CASTAÃ‘ARES AV. y GORDILLO, TIMOTEO",8,MOTO-AUTO,MOTO,AUTO
430,2019-0013,1,2019-02-20,2019,2,20,07:30:00,7,SALVIGNY Y MOM,CALLE,SALVIGNY,MOM,SALVIGNY y MOM,7,PEATON-AUTO,PEATON,AUTO
431,2019-0014,1,2019-02-20,2019,2,20,17:30:00,17,"LAMARCA, EMILIO 5402",CALLE,"LAMARCA, EMILIO",Sin Cruce,"LAMARCA, EMILIO 5402",11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
432,2019-0015,1,2019-02-23,2019,2,23,06:57:00,6,SAN MARTIN AV. 5638,AVENIDA,SAN MARTIN AV.,Sin Cruce,SAN MARTIN AV. 5638,11,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
433,2019-0016,1,2019-02-24,2019,2,24,02:00:00,2,"CARRILLO, RAMON, DR. Y FINOCHIETTO ENRIQUE DR.",CALLE,"CARRILLO, RAMON, DR.",FINOCHIETTO ENRIQUE DR.,"CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.",4,MOTO-PASAJEROS,MOTO,PASAJEROS
434,2019-0017,1,2019-03-03,2019,3,3,07:00:00,7,MEXICO Y PICHINCHA,CALLE,MEXICO,PICHINCHA,MEXICO y PICHINCHA,3,AUTO-PASAJEROS,AUTO,PASAJEROS
435,2019-0018,1,2019-03-03,2019,3,3,23:30:00,23,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,"CANTILO, INT.","UDAONDO, GUILLERMO AV.","CANTILO, INT. y UDAONDO, GUILLERMO AV.",13,PEATON-AUTO,PEATON,AUTO
436,2019-0019,1,2019-03-06,2019,3,6,12:00:00,12,DEL LIBERTADOR AV. 6326,AVENIDA,DEL LIBERTADOR AV.,Sin Cruce,DEL LIBERTADOR AV. 6326,13,MOTO-AUTO,MOTO,AUTO
437,2019-0020,1,2019-03-07,2019,3,7,21:01:00,21,CHICLANA AV. 3444,AVENIDA,CHICLANA AV.,Sin Cruce,CHICLANA AV. 3444,5,MOTO-AUTO,MOTO,AUTO
438,2019-0021,1,2019-03-15,2019,3,15,22:50:00,22,BOYACA AV. Y YERBAL,AVENIDA,BOYACA AV.,YERBAL,BOYACA AV. y YERBAL,7,MOTO-AUTO,MOTO,AUTO
439,2019-0022,1,2019-03-15,2019,3,15,1900-01-02 00:00:00,0,ENTRE RIOS AV. BAJO PUENTE AUTOPISTA (1260 APROX),AVENIDA,ENTRE RIOS AV.,Sin Cruce,ENTRE RIOS AV. 1260,1,AUTO-SD,AUTO,SD
440,2019-0023,1,2019-03-16,2019,3,16,08:28:00,8,"PAZ, GRAL. AV. Y JACQUES, AMADEO",GRAL PAZ,"PAZ, GRAL. AV.","JACQUES, AMADEO","PAZ, GRAL. AV. y JACQUES, AMADEO",9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
441,2019-0024,1,2019-03-19,2019,3,19,1900-01-14 07:12:00,7,ANTARTIDA ARGENTINA AV. 1325,AVENIDA,ANTARTIDA ARGENTINA AV.,Sin Cruce,ANTARTIDA ARGENTINA AV. 1325,1,MOTO-CARGAS,MOTO,CARGAS
442,2019-0025,1,2019-03-22,2019,3,22,13:10:00,13,"MITRE, BARTOLOME Y SANCHEZ DE BUSTAMANTE",CALLE,"MITRE, BARTOLOME",SANCHEZ DE BUSTAMANTE,"MITRE, BARTOLOME y SANCHEZ DE BUSTAMANTE",5,PEATON-AUTO,PEATON,AUTO
443,2019-0026,1,2019-03-28,2019,3,28,07:32:00,7,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LARRAZABAL",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PAZ, GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",8,PEATON-PASAJEROS,PEATON,PASAJEROS
444,2019-0027,1,2019-03-28,2019,3,28,11:11:00,11,SANTA FE AV. Y AZCUENAGA,AVENIDA,SANTA FE AV.,AZCUENAGA,SANTA FE AV. y AZCUENAGA,2,MULTIPLE,BICICLETA,MULTIPLE
445,2019-0028,1,2019-04-06,2019,4,6,09:15:00,9,"JUSTO, JUAN B. AV. y OROÑO, NICASIO",AVENIDA,"JUSTO, JUAN B. AV.","ORO?O, NICASIO","JUSTO, JUAN B. AV. y OROÃ‘O, NICASIO",11,PEATON-PASAJEROS,PEATON,PASAJEROS
446,2019-0029,1,2019-04-07,2019,4,7,10:15:00,10,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LACARRA AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PAZ, GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
447,2019-0030,1,2019-04-09,2019,4,9,16:00:00,16,"ALVAREZ, DONATO, TTE. GRAL. Y YERBAL",CALLE,"ALVAREZ, DONATO, TTE. GRAL.",YERBAL,"ALVAREZ, DONATO, TTE. GRAL. y YERBAL",7,MOTO-CARGAS,MOTO,CARGAS
448,2019-0031,1,2019-04-12,2019,4,12,19:55:00,19,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,CORDOBA AV.,"MADERO, EDUARDO AV.","CORDOBA AV. y MADERO, EDUARDO AV.",1,BICICLETA-CARGAS,BICICLETA,CARGAS
449,2019-0032,1,2019-04-16,2019,4,16,11:00:00,11,"CAMARONES Y ALVAREZ, DONATO, TTE. GRAL. AV.",AVENIDA,CAMARONES,"ALVAREZ, DONATO, TTE. GRAL. AV.","CAMARONES y ALVAREZ, DONATO, TTE. GRAL. AV.",11,PEATON-AUTO,PEATON,AUTO
450,2019-0033,1,2019-04-18,2019,4,18,01:00:00,1,"AUTOPISTA 25 DE MAYO Y HUERGO, ING. AV.",AUTOPISTA,AUTOPISTA 25 DE MAYO,"HUERGO, ING. AV.","AUTOPISTA 25 DE MAYO y HUERGO, ING. AV.",1,MOTO-SD,MOTO,SD
451,2019-0034,1,2019-04-21,2019,4,21,09:08:00,9,"MORENO, PERITO AV. 3050",AVENIDA,"MORENO, PERITO AV.",Sin Cruce,"MORENO, PERITO AV. 3050",7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
452,2019-0035,1,2019-04-23,2019,4,23,14:10:00,14,SUIPACHA 665,CALLE,SUIPACHA,Sin Cruce,SUIPACHA 665,1,PEATON-BICICLETA,PEATON,BICICLETA
453,2019-0036,1,2019-04-26,2019,4,26,22:46:00,22,RIGLOS Y FORMOSA,CALLE,RIGLOS,FORMOSA,RIGLOS y FORMOSA,6,MOTO-AUTO,MOTO,AUTO
454,2019-0037,1,2019-05-01,2019,5,1,23:10:00,23,LA RIOJA E INDEPENDENCIA AV.,AVENIDA,LA RIOJA,INDEPENDENCIA AV.,LA RIOJA e INDEPENDENCIA AV.,3,MOTO-AUTO,MOTO,AUTO
455,2019-0038,1,2019-05-04,2019,5,4,14:10:00,14,"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,"UDAONDO, GUILLERMO AV.","FIGUEROA ALCORTA, PRES. AV.","UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.",13,PEATON-MOTO,PEATON,MOTO
456,2019-0039,1,2019-05-09,2019,5,9,03:05:00,3,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,SAN PEDRITO AV.,DIRECTORIO AV.,SAN PEDRITO AV. y DIRECTORIO AV.,7,MOTO-AUTO,MOTO,AUTO
457,2019-0040,1,2019-05-09,2019,5,9,12:45:00,12,PUAN Y SANTANDER,CALLE,PUAN,SANTANDER,PUAN y SANTANDER,7,MOTO-SD,MOTO,SD
458,2019-0041,1,2019-05-11,2019,5,11,20:30:00,20,"ALBERDI, JUAN BAUTISTA AV. Y ANDALGALA",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",ANDALGALA,"ALBERDI, JUAN BAUTISTA AV. y ANDALGALA",9,MULTIPLE,AUTO,MULTIPLE
459,2019-0042,1,2019-05-14,2019,5,14,15:00:00,15,LIMA Y CONSTITUCION,CALLE,LIMA,CONSTITUCION,LIMA y CONSTITUCION,1,PEATON-PASAJEROS,PEATON,PASAJEROS
460,2019-0043,1,2019-05-21,2019,5,21,09:00:00,9,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,CORDOBA AV.,"MADERO, EDUARDO AV.","CORDOBA AV. y MADERO, EDUARDO AV.",1,BICICLETA-CARGAS,BICICLETA,CARGAS
461,2019-0044,1,2019-05-27,2019,5,27,12:45:00,12,BOEDO AV. 650,AVENIDA,BOEDO AV.,Sin Cruce,BOEDO AV. 650,5,PEATON-MOTO,PEATON,MOTO
462,2019-0045,1,2019-06-03,2019,6,3,07:27:00,7,DEL LIBERTADOR AV. Y REPUBLICA DE LA INDIA,AVENIDA,DEL LIBERTADOR AV.,REPUBLICA DE LA INDIA,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,14,MOTO-CARGAS,MOTO,CARGAS
463,2019-0046,1,2019-06-04,2019,6,4,09:00:00,9,GRAL PAZ Y CABILDO,GRAL PAZ,"PAZ, GRAL. AV.",CABILDO AV.,"PAZ, GRAL. AV. y CABILDO AV.",13,MOTO-AUTO,MOTO,AUTO
464,2019-0047,1,2019-06-06,2019,6,6,10:00:00,10,CASEROS AV. 1700,AVENIDA,CASEROS AV.,Sin Cruce,CASEROS AV. 1700,4,PEATON-CARGAS,PEATON,CARGAS
465,2019-0048,1,2019-06-07,2019,6,7,07:00:00,7,AVELLANEDA AV. 1548,AVENIDA,AVELLANEDA AV.,Sin Cruce,AVELLANEDA AV. 1548,6,MOTO-CARGAS,MOTO,CARGAS
466,2019-0049,1,2019-06-08,2019,6,8,09:20:00,9,CIUDAD DE LA PAZ Y MENDOZA,CALLE,CIUDAD DE LA PAZ,MENDOZA,CIUDAD DE LA PAZ y MENDOZA,13,PEATON-CARGAS,PEATON,CARGAS
467,2019-0050,1,2019-06-08,2019,6,8,23:35:00,23,"SALGUERO, JERONIMO Y HONDURAS AV.",AVENIDA,"SALGUERO, JERONIMO",HONDURAS AV.,"SALGUERO, JERONIMO y HONDURAS AV.",14,MOTO-CARGAS,MOTO,CARGAS
468,2019-0051,1,2019-06-11,2019,6,11,10:00:00,10,"FILIBERTO, JUAN DE DIOS Y OLAVARRIA",CALLE,"FILIBERTO, JUAN DE DIOS",OLAVARRIA,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",4,MOTO-AUTO,MOTO,AUTO
469,2019-0053,1,2019-06-14,2019,6,14,17:20:00,17,ASTURIAS AV. Y CASTAÑARES AV.,AVENIDA,ASTURIAS AV.,CASTA?ARES AV.,ASTURIAS AV. y CASTAÃ‘ARES AV.,8,AUTO-AUTO,AUTO,AUTO
470,2019-0054,1,2019-06-20,2019,6,20,03:00:00,3,GANDARA 2976,CALLE,GANDARA,Sin Cruce,GANDARA 2976,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
471,2019-0055,1,2019-06-20,2019,6,20,19:45:00,19,"GUEVARA, TRINIDAD Y MADERO, EDUARDO AV.",AVENIDA,"GUEVARA, TRINIDAD","MADERO, EDUARDO AV.","GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",1,MOTO-PASAJEROS,MOTO,PASAJEROS
472,2019-0056,1,2019-06-29,2019,6,29,17:16:00,17,BOYACA AV. 305,AVENIDA,BOYACA AV.,Sin Cruce,BOYACA AV. 305,7,PEATON-AUTO,PEATON,AUTO
473,2019-0057,1,2019-07-05,2019,7,5,19:00:00,19,ARTILLEROS Y LA PAMPA,CALLE,ARTILLEROS,LA PAMPA,ARTILLEROS y LA PAMPA,13,PEATON-AUTO,PEATON,AUTO
474,2019-0058,1,2019-07-10,2019,7,10,09:20:00,9,AUTOPISTA PERITO MORENO ALTURA PASO A NIVEL DE IRIGOYEN,AUTOPISTA,AUTOPISTA PERITO MORENO,Sin Cruce,AUTOPISTA PERITO MORENO e IRIGOYEN,10,MOTO-PASAJEROS,MOTO,PASAJEROS
475,2019-0059,1,2019-07-13,2019,7,13,22:35:00,22,15 DE NOVIEMBRE DE 1889 Y SANTIAGO DEL ESTERO,CALLE,15 DE NOVIEMBRE DE 1889,SANTIAGO DEL ESTERO,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,1,MOTO-PASAJEROS,MOTO,PASAJEROS
476,2019-0060,1,2019-07-17,2019,7,17,11:20:00,11,"ACOSTA, MARIANO AV. Y FALCON, RAMON L., CNEL.",AVENIDA,"ACOSTA, MARIANO AV.","FALCON, RAMON L.,CNEL.","ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",10,PEATON-AUTO,PEATON,AUTO
477,2019-0061,1,2019-07-17,2019,7,17,18:40:00,18,11 DE SEPTIEMBRE DE 1888 Y MENDOZA,CALLE,11 DE SEPTIEMBRE DE 1888,MENDOZA,11 DE SEPTIEMBRE DE 1888 y MENDOZA,13,PEATON-PASAJEROS,PEATON,PASAJEROS
478,2019-0062,1,2019-08-01,2019,8,1,23:00:00,23,"PINO, VIRREY DEL Y CAMPOS, LUIS M. AV.",AVENIDA,"PINO, VIRREY DEL","CAMPOS, LUIS M. AV.","PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",13,PEATON-PASAJEROS,PEATON,PASAJEROS
479,2019-0063,1,2019-08-04,2019,8,4,01:30:00,1,FOREST AV. Y MAURE,AVENIDA,FOREST AV.,MAURE,FOREST AV. y MAURE,15,MOTO-PASAJEROS,MOTO,PASAJEROS
480,2019-0064,1,2019-08-06,2019,8,6,03:15:00,3,"BOYACA AV. Y AVELLANEDA AV,",AVENIDA,BOYACA AV.,AVELLANEDA AV.,BOYACA AV. y AVELLANEDA AV.,7,MOTO-AUTO,MOTO,AUTO
481,2019-0065,1,2019-08-08,2019,8,8,16:45:00,16,BARCO CENTENERA DEL Y TILCARA,CALLE,BARCO CENTENERA DEL,TILCARA,BARCO CENTENERA DEL y TILCARA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
482,2019-0066,1,2019-08-11,2019,8,11,21:15:00,21,RIESTRA AV. Y BOLIVAR,AVENIDA,RIESTRA AV.,BOLIVAR (NO OFICIAL),RIESTRA AV. y BOLIVAR (NO OFICIAL),7,PEATON-AUTO,PEATON,AUTO
